sample,lambda_1,lambda_2,lambda_3,KS
1,0.39987433259375393,0.00618497165851295,0.8988403077237308,1.3048996119759977
2,0.41418897407129407,0.005249876296147704,0.8910425282083452,1.310481378575787
3,0.4068704575765878,0.006422857288271189,0.72003483469598,1.133328149560839
4,0.3961422103457153,0.004879663698375225,0.6780703575350344,1.079092231579125
5,0.40829904400743544,0.006115881260484457,0.7354996318463236,1.1499145571142435
6,0.40664414037019014,0.005236743483692408,0.9209791729226708,1.3328600567765534
7,0.4059755955822766,0.006446443730965257,0.6803536715451628,1.0927757108584046
8,0.42333354940637946,0.006156626157462597,0.729913804680109,1.159403980243951
9,0.43017463432624936,0.004717628704383969,0.737418357282877,1.1723106203135103
10,0.3983885345514864,0.01103302207775414,0.6697003641165793,1.0791219207458198
11,0.4040113026276231,0.004820682341232896,0.888654655078426,1.297486640047282
12,0.41218439396470785,0.010355926817283034,0.8502954505383968,1.2728357713203877
13,0.4070980187971145,0.00615816842764616,1.5701241351198405,1.9833803223446012
14,0.40537122380919755,0.010979285929352045,0.6861582433339208,1.1025087530724704
15,0.39703427301719785,0.0054434738121926785,1.320299022598192,1.7227767694275826
16,0.39535214798524976,0.006463076453655958,1.0687265750020742,1.47054179944098
17,0.4084187182597816,0.01105828583240509,0.5691304130014032,0.9886074170935899
18,0.4152104256208986,0.005049762316048145,0.7986149312928319,1.2188751192297786
19,0.4124032754916698,0.006164052756503224,1.1896162815392017,1.6081836097873747
20,0.4048656919039786,0.0023878966458141804,1.4474001149646938,1.8546537035144866
21,0.4015835910104215,0.010010437807068229,0.7787928665056825,1.1903868953231722
22,0.4161962957587093,0.0053135494235903025,0.8305203383788466,1.2520301835611463
23,0.40699701476842165,0.005899558775126934,1.1933075932320207,1.6062041667755693
24,0.3938388347160071,0.007134757470339537,0.8521575923077762,1.2531311844941229
25,0.41660733823664486,0.0031183722894638777,0.7057404690422118,1.1254661795683205
26,0.41586802806705236,0.01021463144570589,1.2487436230294406,1.674826282542199
27,0.3974444924388081,0.01187176164239645,0.9065085088368505,1.315824762918055
28,0.4163348546717316,0.004783071577548981,0.9755780987907201,1.3966960250400007
29,0.40797515376470983,0.0066538245882838964,0.7870452932547778,1.2016742716077715
30,0.41853506583720446,0.011812870157882571,0.7479846915230155,1.1783326275181025
31,0.41572921350598335,0.004554003244265914,1.1667398556601256,1.5870230724103749
32,0.3936387696303427,0.0036115539260208607,1.2112651581410319,1.6085154816973954
33,0.4140994739718735,0.009746378753334284,0.726430611917749,1.1502764646429569
34,0.40030415053479373,0.006762766512110829,0.7398049086332321,1.1468718256801367
35,0.40446141781285405,0.009396465262398124,0.8881903951987624,1.3020482782740146
36,0.4048719776328653,0.000656988937407732,1.290000020293519,1.695528986863792
37,0.4117959348950535,0.0054360427893698215,1.1715717636980116,1.588803741382435
38,0.3989996057935059,0.008191156666725874,0.8082417480181903,1.215432510478422
39,0.42531053465791047,0.007046459941193461,0.9729339943733066,1.4052909889724106
40,0.3962625367566943,0.009000893449410796,0.745305065298453,1.150568495504558
41,0.423212171997875,0.0077001675963401794,0.6201446284539998,1.051056968048215
42,0.40496702236123383,0.007723037386313081,0.8525673777330667,1.2652574374806136
43,0.4200982165057212,0.0064734278712421656,1.03749746712856,1.4640691115055233
44,0.4022505267057568,0.006766739301383495,1.0834542585071176,1.492471524514258
45,0.4202474735211581,0.0077162692323327065,0.7523539226967841,1.180317665450275
46,0.40954909892752767,0.007493293844163418,0.7191661370452493,1.1362085298169404
47,0.41419920651242137,0.0026850909925997257,1.0854753027670085,1.5023596002720296
48,0.4186582211405039,0.006677762605249882,0.8965954051818699,1.3219313889276236
49,0.4031088287010789,0.006839299108833075,1.2898321498651057,1.6997802776750177
50,0.39817345049232244,0.005671932129189372,0.9141180124133825,1.3179633950348943
51,0.4043596189003438,0.007811842253431678,0.9691899735480547,1.3813614347018301
52,0.4176493021659553,0.007870382396504283,0.7383052310906351,1.1638249156530946
53,0.4073193946387619,0.005629308521747589,1.1931237347889692,1.6060724379494786
54,0.41310367244295776,0.003217137884348631,1.6635938400868326,2.079914650414139
55,0.41064918925985694,0.007629971718415618,0.719357775291428,1.1376369362697005
56,0.41043579252436757,0.0010708810295909643,1.5394562995061278,1.9509629730600864
57,0.406128111993894,0.0041086915880441666,1.0277361597400159,1.437972963321954
