sample,lambda_1,lambda_2,lambda_3,KS
1,0.3128473062533885,0.024058201117441058,1.2434680100996047,1.5803735174704343
2,0.37445293879136443,0.01993456040509045,1.0982238708529621,1.492611370049417
3,0.357595169916749,0.01702518668025732,0.8140068838838488,1.188627240480855
4,0.4023306507151574,0.037880218122154474,0.702571370638907,1.1427822394762188
5,0.40249762241728604,0.03145934292115271,0.786598477512598,1.2205554428510368
6,0.3863864718005061,0.03334935219027102,1.1053793432656676,1.5251151672564447
7,0.3945462058763951,0.01012260839343071,0.6954422667622566,1.1001110810320824
8,0.3746005699504167,0.02671648794785142,0.5343266068957746,0.9356436647940427
9,0.3542696018703282,0.007018121192231774,0.8004174311645329,1.1617051542270929
10,0.40192836709320545,0.01913723209872842,0.5428093946538866,0.9638749938458204
11,0.3932767726946622,0.022914253175258636,0.8387724845670164,1.2549635104369372
12,0.37204440915957093,0.01735972799360752,0.8074594193603843,1.1968635565135628
13,0.3684546460863203,0.0285638018976897,1.0294552824925631,1.426473730476573
14,0.41673581255599856,0.005646842066198587,0.7162212689872831,1.1386039236094803
15,0.3607199303805828,0.02369101601652801,0.654055931372568,1.0384668777696788
16,0.39176212809979916,0.008828295161947608,1.0969913913868368,1.4975818146485835
17,0.3034641433041543,0.06984890531748533,0.8034029917325824,1.176716040354222
18,0.3709861368406564,0.04490779899060726,0.6186509421095252,1.0345448779407889
19,0.3562144704628736,0.024113577092066407,0.6490813391283154,1.0294093866832554
20,0.3519503870047629,0.01858071144670248,1.4933804876636714,1.8639115861151367
21,0.36361500970087945,0.038492223946377635,0.6174814207479358,1.0195886543951929
22,0.3721001853700727,0.03274484467692673,0.9404352239798754,1.345280254026875
23,0.384657516842708,0.056573618203401566,0.8676845442969352,1.3089156793430448
24,0.3995374874211848,0.01834728685207665,1.1492664511315525,1.5671512254048139
25,0.3765530961100012,0.016296756453812122,0.625888894777745,1.0187387473415583
26,0.34126945096068084,0.02207014011219144,0.6908400570973754,1.0541796481702477
27,0.39165025507099926,0.01698761689476669,0.629501765826717,1.038139637792483
28,0.3297713282518089,0.045027878135442734,0.7914674247149378,1.1662666311021894
29,0.3728841112460941,0.04500815225765109,0.5758539533708245,0.9937462168745697
30,0.3677633369807154,0.024779486935585737,0.6399935758672655,1.0325363997835666
31,0.3895299311261624,0.043541750870645046,1.129696941934526,1.5627686239313334
32,0.3642364297993481,0.046434045769274235,0.5602866527624428,0.9709571283310652
33,0.35816238238476217,0.01959680882282555,0.6579725102055818,1.0357317014131695
34,0.34296154836192727,0.049176252679899335,0.7053810306824744,1.097518831724301
35,0.33361318870447576,0.05472251563332975,1.0156770444009453,1.4040127487387508
36,0.3563516309950501,0.050868705846369267,0.5830178067553788,0.9902381435967982
37,0.36249427893199027,0.03311331011354923,0.5762143104802817,0.9718218995258212
38,0.3281881627626717,0.021251080557703972,0.6519352972973138,1.0013745406176895
39,0.3402580297552049,0.019283283734694123,0.7001489342655987,1.0596902477554977
40,0.37011000025086105,0.014849737985059619,1.042773931287229,1.4277336695231497
41,0.3813372009899467,0.0634498530998826,0.6056675722356886,1.050454626325518
42,0.38890636060386896,0.005218894686549902,0.898158538620919,1.2922837939113379
43,0.3859011586755514,0.013571050949394703,0.7237533184234053,1.1232255280483514
44,0.352585410233587,0.025748828193172812,0.7642800072208047,1.1426142456475645
45,0.4156609382480383,0.011516669765114784,0.7090981667861342,1.1362757747992873
46,0.366384310182184,0.019524886971339583,1.4192472293507308,1.8051564265042543
47,0.3704960886389017,0.03433723049238324,0.6410010289400816,1.0458343480713665
48,0.35246434318833053,0.023940021404996514,0.5912687706295401,0.9676731352228671
49,0.4204155704937875,0.010307927383109927,0.6287487491499633,1.0594722470268607
50,0.3084729409310967,0.05126675986684859,0.8234969172626734,1.1832366180606186
51,0.33532688370905817,0.019526419462636113,0.7423865820746869,1.0972398852463812
52,0.35378178767859936,0.06329864170402288,0.6875341527629644,1.1046145821455866
53,0.3837929554283619,0.02388042607344687,0.368164254585281,0.7758376360870898
54,0.39057470788247883,0.043583032907918096,0.68591393600218,1.120071676792577
55,0.37408580142073333,0.01689873728901148,0.854829998454079,1.2458145371638238
56,0.3725476674735546,0.08014292502775788,0.6622610641643405,1.114951656665653
57,0.3419586804229766,0.04332876531407237,0.6926244869828224,1.0779119327198714
58,0.31514493422582746,0.019855297403410077,0.6234884893056005,0.9584887209348381
59,0.4185258555226028,0.013618012657389045,0.5655447912868112,0.9976886594668031
60,0.3838473444338888,0.026709652040153742,0.6550209820270538,1.0655779785010964
61,0.3682455960661173,0.039693203987553716,0.8257936330046505,1.2337324330583215
62,0.36908652796410024,0.03342640330083668,0.7155717073474079,1.1180846386123449
63,0.36153342784382403,0.0631094800774008,0.6360962663311511,1.060739174252376
64,0.3024686861317605,0.054029277293011546,0.7957560608629137,1.1522540242876858
65,0.38333198381587863,0.008750303881242871,0.6115845427848399,1.0036668304819614
66,0.38090666104108095,0.01696181041188538,0.8887644989881665,1.2866329704411328
67,0.37221700930967927,0.029154871124774218,0.5853899565991014,0.9867618370335549
68,0.34458102751523256,0.014680071733891964,0.980847118422389,1.3401082176715136
69,0.38926744391210377,0.0052176124881953,0.7975920243188739,1.192077080719173
70,0.37484677555039525,0.013352656736969948,1.5539721329696476,1.9421715652570128
71,0.379495122237131,0.015517288586124778,0.9473932117689401,1.3424056225921959
72,0.3767646895721555,0.010053731966763735,0.801798241911456,1.1886166634503752
73,0.3636542963795364,0.03960924502462149,0.5992104832548648,1.0024740246590227
74,0.3477578971069306,0.02300188341178,0.6536399235483259,1.0243997040670365
75,0.35483334702439606,0.05475158570334315,0.7350097743328661,1.1445947070606053
76,0.3296752003952861,0.04146736767143011,0.677528293337673,1.0486708614043891
77,0.3734891680069268,0.06970760598778725,0.8711674492806196,1.3143642232753336
78,0.37342859362252057,0.013360915705561638,0.5875245090574026,0.9743140183854848
79,0.34047284978441894,0.060389704536646605,1.0128845130093396,1.4137470673304051
80,0.3245157452765852,0.021560405613854527,0.9352236797567457,1.2812998306471854
81,0.398181565804407,0.017730483552441,0.6067232729401439,1.022635322296992
82,0.34199507837183774,0.06209489540196955,0.720699148485437,1.1247891222592443
83,0.36275781062431633,0.022378882160410285,0.7862332991790026,1.1713699919637293
84,0.3842306344304234,0.030445282580330968,0.851922542322427,1.2665984593331814
85,0.3574687400832772,0.029432706302031875,0.6949761533178389,1.081877599703148
86,0.4145982072222978,0.0472550424747169,0.5445993684697896,1.0064526181668043
87,0.3524514304008335,0.048587971134111285,0.5097247760277241,0.9107641775626689
88,0.3636868819594383,0.06349412049166858,0.8230289875064045,1.2502099899575114
89,0.37912350380793214,0.021822019014507532,0.632305147824809,1.0332506706472486
90,0.34209475480020046,0.026104149874299765,1.281031466787681,1.6492303714621812
91,0.3606663467362523,0.020478071877732873,0.787387507269159,1.1685319258831441
92,0.356278674909845,0.05821969220414758,1.2509521374013275,1.66545050451532
93,0.35140706482343376,0.03169691958464682,0.6038024758454412,0.9869064602535218
94,0.4480071165598929,0.009675873210653663,0.5722404893022031,1.0299234790727496
95,0.39509037625975907,0.014916150132194161,0.5669288374483585,0.9769353638403118
96,0.3463704572059214,0.027745311614125967,0.6834147949703038,1.0575305637903512
97,0.37695231032557786,0.015713563188910484,0.5273606549017131,0.9200265284162015
98,0.36131747090257704,0.028916135430336,0.8471469164360315,1.2373805227689445
99,0.42209087731316686,0.012082412606105208,0.5347099674399942,0.9688832573592663
100,0.3982422237750143,0.03469415963627398,0.7667948314920068,1.199731214903295
