sample,lambda_1,lambda_2,lambda_3,KS
1,0.4000250438693911,0.012520571704953909,0.702285788487643,1.114831404061988
2,0.4273010469041765,0.008137256605550647,0.8838337361812592,1.3192720396909863
3,0.37537284148857,0.01170048932544887,1.0469624849501997,1.4340358157642186
4,0.3764048379380256,0.017348723020404577,0.7248907389584929,1.118644299916923
5,0.386329791508615,0.013350859051570296,0.9341942283790559,1.3338748789392412
6,0.39359705918468535,0.01042050146497786,0.6590847743209451,1.0631023349706084
7,0.38731466280296445,0.008250879356637597,1.0350532419979572,1.4306187841575593
8,0.3984036576002836,0.0175649831071496,0.6549407930579036,1.0709094337653369
9,0.42132537672296166,0.017592487391084433,0.6776515084784478,1.116569372592494
10,0.42350250482559204,0.005304527934640646,0.7668179913889617,1.1956250241491944
11,0.40589874098077416,0.012761941878125072,0.6064835905563086,1.0251442734152079
12,0.3939540742430836,0.0170646735932678,0.638710459228605,1.0497292070649564
13,0.39467050158418715,0.019144414691254497,0.6940641475375742,1.1078790638130158
14,0.39297114755026996,0.0077244131825864315,0.6777869029901922,1.0784824637230486
15,0.41925245081074536,0.010890984209254384,0.7389308768324554,1.1690743118524551
16,0.39872598904184997,0.009927773382514715,0.9536920317914337,1.3623457942157984
17,0.42313435417599976,0.007943386910483241,0.7642831895500422,1.1953609306365252
18,0.41638936288654804,0.010457644239068031,0.8640379661228508,1.2908849732484668
19,0.3971476871520281,0.009101157076656818,0.5996938848402351,1.00594272906892
20,0.4261209412943572,0.00848217192105949,0.7250260678119957,1.1596291810274124
21,0.4145605438388884,0.011079860851168633,0.8124678407330066,1.2381082454230636
22,0.3960296828299761,0.010400342056527734,1.8017579095903784,2.208187934476882
23,0.4006685991771519,0.014814214780926704,0.8968350195791572,1.3123178335372359
24,0.41115465736947954,0.006911847507581115,0.7497425370384008,1.1678090419154614
25,0.42174486722797155,0.01851184037514031,0.7617252748459578,1.2019819824490696
26,0.38634890015237033,0.007790083298459649,1.3752461802214384,1.7693851636722684
27,0.3928048263769597,0.017415387788787484,0.8281930859666318,1.238413300132379
28,0.4098537254612893,0.016553249675780535,0.7288048611953855,1.1552118363324553
29,0.40368858026340604,0.01973358658142388,0.6239962698891759,1.0474184367340058
30,0.406477530952543,0.011417838744819164,0.8317167893983424,1.2496121590957046
31,0.38996770326048136,0.012138962047174573,0.9019144717603922,1.3040211370680481
32,0.3842498615849763,0.004988503409549594,1.711333254352212,2.100571619346738
33,0.38358973804861307,0.008169664768502116,0.8258440082427114,1.2176034110598266
34,0.3835428317543119,0.012663336470723152,0.6417715097777545,1.0379776780027896
35,0.4053682356607169,0.016680329339578748,0.6196991219185293,1.041747686918825
