horizon_s,lambda1_mean,lambda1_std,lambda1_min,lambda1_max,lambda2_mean,lambda2_std,lambda2_min,lambda2_max,lambda3_mean,lambda3_std,lambda3_min,lambda3_max,ks_mean,ks_std,ks_min,ks_max,dt_bound_l1_min,dt_bound_ks_min
200,0.29238294017966837,0.04452180856577018,0.1598369935527444,0.38554341648705304,0.07305463016033173,0.042224526347808856,0.01260242098942399,0.20645155175589025,0.6751811965950765,0.16319360004086741,0.3688253608997911,1.0946377995423973,1.0406187669350766,0.15933290154347385,0.742256281664595,1.4480561099480838,1110.1665157683972,239.06254834974743
500,0.3682856561755761,0.026899866128894313,0.3024686861317605,0.4480071165598929,0.03021325037116185,0.017412505852159803,0.0052176124881953,0.08014292502775788,0.7732945279893465,0.21901218549273707,0.368164254585281,1.5539721329696476,1.1717934345360845,0.21497045803272608,0.7758376360870898,1.9421715652570128,586.6580124133831,228.71496556713478
1000,0.3910049683204852,0.017636276551301316,0.3413237305358052,0.4310344697441906,0.0178624216793105,0.008363941191301256,0.003376990556716919,0.043828769121319056,0.8342814294085837,0.2373016022383207,0.4950795602053404,1.4841267752926797,1.2431488194083795,0.23362226030448205,0.9037389592267573,1.8793206848204136,519.8750111654829,196.34616435609817
2000,0.40234769879840315,0.0126928411323644,0.3674497331958264,0.4273010469041765,0.010875079666730016,0.004554261288960673,0.0016516665928065777,0.021387681597843766,0.8932039230968803,0.27633367213744564,0.5996938848402351,1.8017579095903784,1.3064267015620135,0.2738294970028074,1.00594272906892,2.208187934476882,482.91143574944215,176.3973962887391
4000,0.4076038421643898,0.00863221166659464,0.3857605594675988,0.43017463432624936,0.006740620974451304,0.002493281634017477,0.000656988937407732,0.013687103986740112,0.9281471804040484,0.23976975009658844,0.5691304130014032,1.6635938400868326,1.3424916435428895,0.23787787626041587,0.9886074170935899,2.079914650414139,459.98916651366534,179.49053907062432
