bootstrap_iteration,crossover_R,crossover_pct
1,84.76522525283005,8.277854028596684
2,84.62459288585667,8.26412039900944
3,85.39412370603368,8.339269893167351
4,1.4221627406752453,0.13888308014406692
5,84.78056515329313,8.279352065751281
6,84.56704356763748,8.258500348402098
7,85.39412370603368,8.339269893167351
8,84.53992958897125,8.255852498922973
9,85.19965697177103,8.320279001149515
10,84.21093359522516,8.223723983908707
11,1.520057629385323,0.14844312786966044
12,84.36131712533233,8.238409875520736
13,85.19965697177103,8.320279001149515
14,85.04020020576866,8.304707051344595
15,1.5017345588662612,0.14665376551428333
16,85.39412370603368,8.339269893167351
17,1.5017345588662612,0.14665376551428333
18,83.56148017806512,8.160300798639172
19,84.37649927238789,8.23989250706913
20,85.04020020576866,8.304707051344595
21,84.62459288585667,8.26412039900944
22,84.76522525283005,8.277854028596684
23,84.21093359522516,8.223723983908707
24,83.9567779083644,8.198904092613711
25,1.514590945738493,0.1479092720447747
26,84.1446629218648,8.21725223846336
27,84.37649927238789,8.23989250706913
28,84.1446629218648,8.21725223846336
29,85.39412370603368,8.339269893167351
30,84.36131712533233,8.238409875520736
31,84.28355310890812,8.23081573329181
32,83.56148017806512,8.160300798639172
33,85.19965697177103,8.320279001149515
34,84.36708519405525,8.238973163481958
35,85.39412370603368,8.339269893167351
36,85.02476188194754,8.30319940253394
37,84.1446629218648,8.21725223846336
38,84.76522525283005,8.277854028596684
39,84.37649927238789,8.23989250706913
40,84.78056515329313,8.279352065751281
41,1.5017345588662612,0.14665376551428333
42,83.81911087563785,8.185460046449009
43,84.78056515329313,8.279352065751281
44,84.8317095725281,8.284346637942196
45,84.97307133777325,8.29815149782942
46,84.37649927238789,8.23989250706913
47,1.515298757929704,0.14797839432907264
48,84.1446629218648,8.21725223846336
49,1.520057629385323,0.14844312786966044
50,85.02476188194754,8.30319940253394
51,84.76522525283005,8.277854028596684
52,84.28355310890812,8.23081573329181
53,85.19965697177103,8.320279001149515
54,85.02476188194754,8.30319940253394
55,83.81911087563785,8.185460046449009
56,84.1446629218648,8.21725223846336
57,1.514590945738493,0.1479092720447747
58,83.9567779083644,8.198904092613711
59,85.04020020576866,8.304707051344595
60,84.56704356763748,8.258500348402098
61,85.02476188194754,8.30319940253394
62,84.69742160456961,8.27123257857125
63,85.04020020576866,8.304707051344595
64,84.78056515329313,8.279352065751281
65,84.78056515329313,8.279352065751281
66,1.5017345588662612,0.14665376551428333
67,84.36708519405525,8.238973163481958
68,84.78056515329313,8.279352065751281
69,83.88470500402718,8.19186572304953
70,84.21093359522516,8.223723983908707
71,85.39412370603368,8.339269893167351
72,84.78056515329313,8.279352065751281
73,84.62459288585667,8.26412039900944
74,84.97307133777325,8.29815149782942
75,1.4221627406752453,0.13888308014406692
76,84.53992958897125,8.255852498922973
77,84.53992958897125,8.255852498922973
78,84.78056515329313,8.279352065751281
79,83.9567779083644,8.198904092613711
80,84.28355310890812,8.23081573329181
81,1.514590945738493,0.1479092720447747
82,1.515298757929704,0.14797839432907264
83,85.04020020576866,8.304707051344595
84,84.21093359522516,8.223723983908707
85,83.88470500402718,8.19186572304953
86,84.62459288585667,8.26412039900944
87,84.53992958897125,8.255852498922973
88,83.81911087563785,8.185460046449009
89,85.19965697177103,8.320279001149515
90,84.28355310890812,8.23081573329181
91,85.18415934150133,8.318765560693489
92,84.62459288585667,8.26412039900944
93,84.97307133777325,8.29815149782942
94,84.63987849275809,8.265613134058407
95,84.97307133777325,8.29815149782942
96,84.37649927238789,8.23989250706913
97,85.23392990164103,8.323625966957133
98,1.515298757929704,0.14797839432907264
99,85.04020020576866,8.304707051344595
100,84.78056515329313,8.279352065751281
101,84.1446629218648,8.21725223846336
102,84.1446629218648,8.21725223846336
103,84.21093359522516,8.223723983908707
104,85.02476188194754,8.30319940253394
105,1.520057629385323,0.14844312786966044
106,84.56704356763748,8.258500348402098
107,84.1446629218648,8.21725223846336
108,83.56148017806512,8.160300798639172
109,84.1446629218648,8.21725223846336
110,84.69742160456961,8.27123257857125
111,84.62459288585667,8.26412039900944
112,1.5017345588662612,0.14665376551428333
113,83.56148017806512,8.160300798639172
114,1.4221627406752453,0.13888308014406692
115,84.76522525283005,8.277854028596684
116,83.9567779083644,8.198904092613711
117,84.36708519405525,8.238973163481958
118,83.56148017806512,8.160300798639172
119,84.21093359522516,8.223723983908707
120,84.76522525283005,8.277854028596684
121,84.37649927238789,8.23989250706913
122,1.515298757929704,0.14797839432907264
123,84.56704356763748,8.258500348402098
124,84.97307133777325,8.29815149782942
125,85.04020020576866,8.304707051344595
126,1.5017345588662612,0.14665376551428333
127,84.63987849275809,8.265613134058407
