statistic,crossover_R,crossover_pct
mean,67.77451951335422,6.618605421225998
std,33.37015209771756,3.2588039157927304
ci95_lower,1.4221627406752453,0.13888308014406692
ci95_upper,85.39412370603368,8.339269893167351
ci90_lower,1.5017345588662612,0.14665376551428333
ci90_upper,85.23392990164103,8.323625966957133
min,1.4221627406752453,0.13888308014406692
max,85.39412370603368,8.339269893167351
seed1,84.56704356763748,8.258500348402098
seed2,84.1446629218648,8.21725223846336
seed3,85.02476188194754,8.30319940253394
seed4,1.4221627406752453,0.13888308014406692
seed5,84.78056515329313,8.279352065751281
